Category,Category2,Category3,Manufacturer,Product Name,ASIN Code,Description,Image URL,Price,J.Discount Price,K.Stock,L.Tax,M.Status,N.URL,O.Point,P.Point Type,Q.Related Item,R.Related Item,S.Cross Sell,T.Meta Key Words,U.Meta Description,V.Delete Key,W.Cost,X.Price2,Y.Tag,Z.Shipping Fee
Toys & Games,Action Fugures,,Animewild,Good Smile Company Nendoroid Persona 4 Kuma / Teddy (Japan Import),B008B5RA22,From the manga 'Persona 4' comes this highly detailed action figure of Kuma. The Nendoroid-style figure stands approx. 10 cm tall and comes with base and figure stand.,51LFrGdAUdL.jpg/512Qie8r8nL.jpg/41rUhmFy1-L.jpg/51E9Di6Zi1L.jpg/51ksQlICU6L.jpg/41X9FodothL.jpg/,47,,100,,1,http://www.amazon.com/Smile-Company-Nendoroid-Persona-Import/dp/B008B5RA22/ref=sr_1_13?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-13&keywords=Japan+import&tag=myhawa07-20,4.32,2,,,,Toys & Games/Good Smile Company Nendoroid Persona 4 Kuma / Teddy (Japan Import)/Animewild,From the manga 'Persona 4' comes this highly detailed action figure of Kuma. The Nendoroid-style figure stands approx. 10 cm tall and comes with base and figure stand.,,,,,
Toys & Games,Action Fugures,,Griffin,Griffon Oreimo 2: Nekomimi Version Kirino PVC Figure,B00G8SYDO2,"From Griffon. Decked out in cute kitty gear and school uniforms, the girls from the anime Oreimo 2 are collectible as PVC figures. Kirino measures 4"" tall, while her friend Kuroneko measures 6 1/2"" tall. Figures sold separately.",415l5LERslL.jpg/41hrLiTHMSL.jpg/41LThzLgR3L.jpg/41h8XSlFADL.jpg/41aFnmSOuJL.jpg/41vnnotLQlL.jpg/41kB6YJYwcL.jpg,93.66,,100,,1,http://www.amazon.com/Griffon-Oreimo-Nekomimi-Version-Kirino/dp/B00G8SYDO2/ref=sr_1_14?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-14&keywords=Japan+import&tag=myhawa07-20,5.535,2,,,,Toys & Games/Griffon Oreimo 2: Nekomimi Version Kirino PVC Figure/Griffin,"From Griffon. Decked out in cute kitty gear and school uniforms, the girls from the anime Oreimo 2 are collectible as PVC figures. Kirino measures 4"" tall, while her friend Kuroneko measures 6 1/2"" tall. Figures sold separately.",,,,,
Toys & Games,Action Fugures,,Takara Tomy,"Takara Tomy Transformers Masterpieces MP-12 ""Rumble"" (Japan Import)",B008B3ZZIA,"Takara Tomy's Masterpiece MP-12 Lambor/Sideswipe retains his original Lamborghini Countach LP500S car mode and is officially licensed from Lamborghini. In addition, his car mode fits inside the MP-10 Convoy's trailer. This is not the Amazon Japan release of the figure that includes a pair of chromed pile-drivers, reminiscent of those used by the character in the animated series.",51qlxBDGejL.jpg/51Stm801zsL.jpg/51Au24Gg30L.jpg/41QMhF52BDaL.jpg/41UzTZVvJBL.jpg/51aO0SN2BVxL.jpg/6197URSJeGL.jpg,99.99,,100,,1,http://www.amazon.com/Takara-Tomy-Transformers-Masterpieces-Rumble/dp/B008B3ZZIA/ref=sr_1_15?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-15&keywords=Japan+import&tag=myhawa07-20,1.35,2,,,,"Toys & Games/Takara Tomy Transformers Masterpieces MP-12 ""Rumble"" (Japan Import)/Takara Tomy","Takara Tomy's Masterpiece MP-12 Lambor/Sideswipe retains his original Lamborghini Countach LP500S car mode and is officially licensed from Lamborghini. In addition, his car mode fits inside the MP-10 Convoy's trailer. This is not the Amazon Japan release of the figure that includes a pair of chromed pile-drivers, reminiscent of those used by the character in the animated series.",,,,,
Toys & Games,Action Fugures,,Bandai,"BANDAI S.H. Figuarts GoGo Sentai Boukenger ""Bouken Red""(Japan Import)",B0087JD12A,"Includes: Adventure / graphics Copper wrist replacement / Sabai Buster / Sabai blade / accelerator error / adventure Bo Adventure / Javelin / body (for ""SHFiguarts Akiba Red"" sold separately)",41PtzgDi-4L.jpg/41INGFMXWaL.jpg/41LBptSYgOL.jpg/41cTZm8rcoL.jpg/41hNpgUIegL.jpg/412B0xPN2XiL.jpg/41Zcb9EZoLL.jpg,29.66,,100,,1,http://www.amazon.com/BANDAI-Figuarts-Sentai-Boukenger-Bouken/dp/B0087JD12A/ref=sr_1_16?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-16&keywords=Japan+import&tag=myhawa07-20,0.675,2,,,,"Toys & Games/BANDAI S.H. Figuarts GoGo Sentai Boukenger ""Bouken Red""(Japan Import)/Bandai","Includes: Adventure / graphics Copper wrist replacement / Sabai Buster / Sabai blade / accelerator error / adventure Bo Adventure / Javelin / body (for ""SHFiguarts Akiba Red"" sold separately)",,,,,
Toys & Games,Action Fugures,,Bandai,BANDAI Ultra Egg Ultraman (Japan Import),B007UK274U,BANDAI Ultra Egg Ultraman (Japan Import),41QJt4RYLsL.jpg/41gE9QIviGL.jpg//41QJt4RYLsL.jpg/41QJt4RYLsL.jpg/41QJt4RYLsL.jpg/41QJt4RYLsL.jpg,15.22,,100,,1,http://www.amazon.com/BANDAI-Ultra-Ultraman-Japan-Import/dp/B007UK274U/ref=sr_1_17?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-17&keywords=Japan+import&tag=myhawa07-20,1.305,2,,,,Toys & Games/BANDAI Ultra Egg Ultraman (Japan Import)/Bandai,BANDAI Ultra Egg Ultraman (Japan Import),,,,,
Toys & Games,Action Fugures,,Bandai,"BANDAI S.H. Figuarts Tokumei Sentai Go-Busters ""Red Buster"" (Japan Import)",B0087JD11Q,Posable figure,41LB12tZj9L.jpg/41WMZ-AEv2BL.jpg/412BVEaVSeFL.jpg/419L-bmf6eL.jpg/41zepVswDJL.jpg/41rmgUNU2KL.jpg/41bWM82B-2XL.jpg,29.99,,100,,1,http://www.amazon.com/BANDAI-Figuarts-Tokumei-Sentai-Go-Busters/dp/B0087JD11Q/ref=sr_1_18?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-18&keywords=Japan+import&tag=myhawa07-20,0.63,2,,,,"Toys & Games/BANDAI S.H. Figuarts Tokumei Sentai Go-Busters ""Red Buster"" (Japan Import)/Bandai",Posable figure,,,,,
Toys & Games,Action Fugures,,Good Smile Company,"Good Smile Company Nendoroid Vocaloid ""Megupoid GUMI"" (Japan Import)",B009FVH4C2,"Figurine articul鬥･ taille env. 10 cm, livr鬥･ sur socle avec accessoires. Mod髑枡 fabriqu繝ｻpar Good Smile Company dans la collection Nendoroid.",41ioZPHDlAL.jpg/41Y2B275DhHL.jpg/414u350JZxL.jpg/419RZZaxo-L.jpg/41sAuAScsNL.jpg//41ioZPHDlAL.jpg,76.11,,100,,1,http://www.amazon.com/Good-Smile-Company-Nendoroid-Vocaloid/dp/B009FVH4C2/ref=sr_1_19?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-19&keywords=Japan+import&tag=myhawa07-20,5.04,2,,,,"Toys & Games/Good Smile Company Nendoroid Vocaloid ""Megupoid GUMI"" (Japan Import)/Good Smile Company","Figurine articul鬥･ taille env. 10 cm, livr鬥･ sur socle avec accessoires. Mod髑枡 fabriqu繝ｻpar Good Smile Company dans la collection Nendoroid.",,,,,
Toys & Games,Action Fugures,,Animewild,Good Smile Company Fireball Charming ex:ride SPride.04 : Josef (Japan Import),B0087DDRY8,Fireball Charming ex: ride SPride.04 Josef (Non-Scale ABS painted action figure),51YCemStPbL.jpg/515MpwyVxZL.jpg/51vNO03XPUL.jpg/61119cwW6jL.jpg/51vIOcuFcUL.jpg//51YCemStPbL.jpg,47.53,,100,,1,http://www.amazon.com/Good-Smile-Company-Fireball-Charming/dp/B0087DDRY8/ref=sr_1_20?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-20&keywords=Japan+import&tag=myhawa07-20,3.24,2,,,,Toys & Games/Good Smile Company Fireball Charming ex:ride SPride.04 : Josef (Japan Import)/Animewild,Fireball Charming ex: ride SPride.04 Josef (Non-Scale ABS painted action figure),,,,,
Toys & Games,Action Fugures,,Good Smile Company,Good Smile Company Nendoroid Waiting in the Summer Ichika Takatsuki (Japan Import),B0086TAXLI,From the manga 'Waiting in the Summer' comes this highly detailed action figure of Ichika Takatsuki. The Nendoroid-style figure stands approx. 10 cm tall and comes with base and figure stand.,51lfdDxdr1L.jpg/51kCDHxyBuL.jpg/41KCNL9OeBL.jpg/412B1qYF0s3L.jpg/41LY542BnJcL.jpg//51lfdDxdr1L.jpg,35.02,,100,,1,http://www.amazon.com/Good-Smile-Company-Nendoroid-Takatsuki/dp/B0086TAXLI/ref=sr_1_21?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-21&keywords=Japan+import&tag=myhawa07-20,0.45,2,,,,Toys & Games/Good Smile Company Nendoroid Waiting in the Summer Ichika Takatsuki (Japan Import)/Good Smile Company,From the manga 'Waiting in the Summer' comes this highly detailed action figure of Ichika Takatsuki. The Nendoroid-style figure stands approx. 10 cm tall and comes with base and figure stand.,,,,,
Toys & Games,Action Fugures,,Animewild,"Good Smile Company Nendoroid Magical Girl Lyrical Nanoha The MOVIE 2nd A's Nanoha Takamachi ""Exelion Mode Edition"" (Japan Import)",B008OVBWAY,From the popular anime series 'Magical Girl Lyrical Nanoha The Movie 2nd' comes this highly detailed action figure. The Nendoroid-style figure stands approx. 10 cm tall and comes with base and figure stand.,51fvpMFcuUL.jpg/51dqhOX1Q6L.jpg/51RQiZQ66yL.jpg/51pMRxjqgoL.jpg/51miFqNp4wL.jpg/51vp4yXeEBL.jpg/,30.78,,100,,1,http://www.amazon.com/Company-Nendoroid-Magical-Lyrical-Takamachi/dp/B008OVBWAY/ref=sr_1_22?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-22&keywords=Japan+import&tag=myhawa07-20,4.32,2,,,,"Toys & Games/Good Smile Company Nendoroid Magical Girl Lyrical Nanoha The MOVIE 2nd A's Nanoha Takamachi ""Exelion Mode Edition"" (Japan Import)/Animewild",From the popular anime series 'Magical Girl Lyrical Nanoha The Movie 2nd' comes this highly detailed action figure. The Nendoroid-style figure stands approx. 10 cm tall and comes with base and figure stand.,,,,,
Toys & Games,Action Fugures,,Animewild,"Max Factory Accel World figma No. 154 ""Kuroyukihime -School Avatar Ver.-"" (Japan Import)",B008B4EN14,From the anime 'Accel World' comes this highly detailed and super posable action figure of Kuroyukihime. The figure from Max Factory's amazing 'figma' series stands approx. 13 cm tall and comes with accessories and figure stand.,51SK9cIhOFL.jpg/51fnmXFPWyL.jpg/51ASnNa2FcL.jpg/51q2BHyFPAtL.jpg/51GTbXmRh8L.jpg/41k24TEYdeL.jpg/51gAupS1bpL.jpg,49.71,,100,,1,http://www.amazon.com/Factory-Kuroyukihime--School-Avatar-Import/dp/B008B4EN14/ref=sr_1_23?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-23&keywords=Japan+import&tag=myhawa07-20,6.12,2,,,,"Toys & Games/Max Factory Accel World figma No. 154 ""Kuroyukihime -School Avatar Ver.-"" (Japan Import)/Animewild",From the anime 'Accel World' comes this highly detailed and super posable action figure of Kuroyukihime. The figure from Max Factory's amazing 'figma' series stands approx. 13 cm tall and comes with accessories and figure stand.,,,,,
Toys & Games,Action Fugures,,Max Factory,"Max Factory Nisemonogatari figma No. 155 ""Karen Araragi"" (Japan Import)",B008ENN4VM,From the anime 'Nisemonogatari' comes this highly detailed and super posable action figure of Karen Araragi. The figure from Max Factory's amazing 'figma' series stands approx. 13 cm tall and comes with accessories and figure stand.,41PFu3uzUnL.jpg/41rUC7MBVJL.jpg/41wTHTtMU6L.jpg/41uGsApZ7-L.jpg/41P91Tzo4cL.jpg/41R2gPGODQL.jpg/,41.12,,100,,1,http://www.amazon.com/Max-Factory-Nisemonogatari-Araragi-Import/dp/B008ENN4VM/ref=sr_1_24?s=toys-and-games&ie=UTF8&qid=1389877586&sr=1-24&keywords=Japan+import&tag=myhawa07-20,0.45,2,,,,"Toys & Games/Max Factory Nisemonogatari figma No. 155 ""Karen Araragi"" (Japan Import)/Max Factory",From the anime 'Nisemonogatari' comes this highly detailed and super posable action figure of Karen Araragi. The figure from Max Factory's amazing 'figma' series stands approx. 13 cm tall and comes with accessories and figure stand.,,,,,
Toys & Games,Action Fugures,,Max Factory,"Max Factory Magical Girl Lyrical Nanoha The MOVIE 2nd A's figma No. 162 ""Fate Testarossa -Lightning Ver.-"" (Japan Import)",B0098GRVNQ,"Figurine articul鬥･ taille env. 12 cm avec accessoires, t鮟仔s interchangeables et socle. Mod髑枡 fabriqu繝ｻpar Max Factory dans la collection Figma, disposant de nombreuses articulations sp鬥擁ales pour des poses dynamiques et r鬣畦istes.",51IANWxQA6L.jpg/51E51hYsyGL.jpg/41nPQ0e1byL.jpg/518IxN9-mbL.jpg/41Q67aB67mL.jpg/51BwxS1E2gL.jpg/,37.53,,100,,1,http://www.amazon.com/Max-Factory-Magical-Testarossa--Lightning/dp/B0098GRVNQ/ref=sr_1_25?s=toys-and-games&ie=UTF8&qid=1389877745&sr=1-25&keywords=Japan+import&tag=myhawa07-20,0.72,2,,,,"Toys & Games/Max Factory Magical Girl Lyrical Nanoha The MOVIE 2nd A's figma No. 162 ""Fate Testarossa -Lightning Ver.-"" (Japan Import)/Max Factory","Figurine articul鬥･ taille env. 12 cm avec accessoires, t鮟仔s interchangeables et socle. Mod髑枡 fabriqu繝ｻpar Max Factory dans la collection Figma, disposant de nombreuses articulations sp鬥擁ales pour des poses dynamiques et r鬣畦istes.",,,,,
Toys & Games,Action Fugures,,Good Smile,Good Smile Puella Madoka Magica: Ultimate Madoka PVC Figure,B0089IW922,"From Good Smile Company. ""I wish that all witches were erased from existence "" From the last episode of the hit anime series Puella Magi Madoka Magica comes a 1/8th scale figure of Ultimate Madoka -- the form Madoka took once her wish was granted and she became a Puella Magi. Her long flowing hair, the deep space confined within her dress, her transparent wings and even her bow that looks like a budding flower -- every part of Ultimate Madoka has been carefully sculpted to faithfully reproduce the original. The included pedestal is made to look like the magical symbols in space that formed each time she fired an arrow.",51vSYmlo35L.jpg/51kvNkpss7L.jpg/51GVzcSXQcL.jpg/51rdnSFwbpL.jpg/51K1Dv8o2BwL.jpg/51G7VEBYfrL.jpg/51rdV2da7YL.jpg,171.72,,100,,1,http://www.amazon.com/Good-Smile-Puella-Madoka-Magica/dp/B0089IW922/ref=sr_1_26?s=toys-and-games&ie=UTF8&qid=1389877745&sr=1-26&keywords=Japan+import&tag=myhawa07-20,2.16,2,,,,Toys & Games/Good Smile Puella Madoka Magica: Ultimate Madoka PVC Figure/Good Smile,"From Good Smile Company. ""I wish that all witches were erased from existence "" From the last episode of the hit anime series Puella Magi Madoka Magica comes a 1/8th scale figure of Ultimate Madoka -- the form Madoka took once her wish was granted and she became a Puella Magi. Her long flowing hair, the deep space confined within her dress, her transparent wings and even her bow that looks like a budding flower -- every part of Ultimate Madoka has been carefully sculpted to faithfully reproduce the original. The included pedestal is made to look like the magical symbols in space that formed each time she fired an arrow.",,,,,
